,config1,config2,similarity
2027,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00372.POSCAR_all_sites/CONTCAR,-0.1105535626411438
1315,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,-0.1105106845498085
2020,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,-0.11047631502151489
1869,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,-0.11029688268899918
1738,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,-0.11028406769037247
688,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,-0.1101367399096489
1083,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,-0.11012506484985352
684,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,-0.110067218542099
773,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,-0.11005642265081406
1093,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,-0.11003919690847397
1400,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.11002301424741745
783,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,-0.10996819287538528
207,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10989093780517578
1134,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00587.POSCAR_all_sites/CONTCAR,-0.10988632589578629
2186,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.10987060517072678
462,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.1097918152809143
293,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00398.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10972592979669571
1109,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00466.POSCAR_all_sites/CONTCAR,-0.10969588905572891
627,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00249.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10962679982185364
1541,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.1095191016793251
945,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10941382497549057
1602,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.1093745157122612
2830,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,-0.10933810472488403
1670,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10925789922475815
1393,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,-0.10924071818590164
290,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00398.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,-0.10922741144895554
210,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.10922741144895554
1534,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,-0.10918544977903366
624,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00249.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,-0.10911477357149124
465,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.10911477357149124
273,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00398.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,-0.10895689576864243
183,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,-0.10894031077623367
2405,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00182.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00160.POSCAR_all_sites/CONTCAR,-0.10893703252077103
1876,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.10893692821264267
766,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,-0.10893603414297104
1745,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.10893013328313828
775,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,-0.10888934880495071
607,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00249.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,-0.10885927826166153
2705,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00372.POSCAR_all_sites/CONTCAR,-0.10885147005319595
2036,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00612.POSCAR_all_sites/CONTCAR,-0.10884853452444077
708,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10884343832731247
438,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,-0.10884121060371399
2040,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00610.POSCAR_all_sites/CONTCAR,-0.1088305115699768
1463,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10882750153541565
2698,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00371.POSCAR_all_sites/CONTCAR,-0.10877431184053421
776,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,-0.10876921564340591
2118,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,-0.10874438285827637
187,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,-0.10862890630960464
948,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.10856694728136063
2473,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,-0.10855557769536972
442,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,-0.10853129625320435
1605,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.10849941521883011
1673,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.10838564485311508
1113,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00351.POSCAR_all_sites/CONTCAR,-0.10805287212133408
276,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00398.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,-0.10801175236701965
610,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00249.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,-0.10791090130805969
1132,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00300.POSCAR_all_sites/CONTCAR,-0.10786078125238419
2015,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00564.POSCAR_all_sites/CONTCAR,-0.10747162252664566
2004,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00572.POSCAR_all_sites/CONTCAR,-0.10744810104370117
2025,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00555.POSCAR_all_sites/CONTCAR,-0.10742036253213882
2409,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00038.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,-0.10714733600616455
1099,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00226.POSCAR_all_sites/CONTCAR,-0.10704132914543152
796,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00453.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.10700482875108719
2714,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00612.POSCAR_all_sites/CONTCAR,-0.10683862119913101
2718,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00610.POSCAR_all_sites/CONTCAR,-0.10682009905576706
2041,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,-0.10657468438148499
2043,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00375.POSCAR_all_sites/CONTCAR,-0.1065497174859047
2012,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00380.POSCAR_all_sites/CONTCAR,-0.1065443679690361
2014,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00513.POSCAR_all_sites/CONTCAR,-0.10649720579385757
692,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,-0.10647162050008774
2038,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00142.POSCAR_all_sites/CONTCAR,-0.10646947473287582
1377,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,-0.10646723955869675
198,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,-0.10643839091062546
196,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,-0.10641375929117203
942,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,-0.10639244318008423
1387,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,-0.10637256503105164
453,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,-0.10633925348520279
1599,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,-0.10633176565170288
451,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,-0.10631463676691055
2383,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00182.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00552.POSCAR_all_sites/CONTCAR,-0.106283999979496
1667,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,-0.10622026771306992
2681,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.10614945739507675
1466,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.10597256571054459
711,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.1059621199965477
2693,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00564.POSCAR_all_sites/CONTCAR,-0.10593011975288391
2682,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00572.POSCAR_all_sites/CONTCAR,-0.105906642973423
2703,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00555.POSCAR_all_sites/CONTCAR,-0.1058788076043129
2121,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,-0.10584953427314758
1473,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,-0.10578673332929611
718,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,-0.10578501969575882
2128,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00625.POSCAR_all_sites/CONTCAR,-0.10568658262491226
2360,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00182.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.10560232400894165
1151,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00193.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00160.POSCAR_all_sites/CONTCAR,-0.1054544448852539
928,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,-0.10517817735671997
2006,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00466.POSCAR_all_sites/CONTCAR,-0.10517210513353348
2003,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00242.POSCAR_all_sites/CONTCAR,-0.10515031218528748
1307,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,-0.10512808710336685
2258,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00195.POSCAR_all_sites/CONTCAR,-0.1050296425819397
2255,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00135.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00202.POSCAR_all_sites/CONTCAR,-0.10501789301633835
1308,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00083.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,-0.10501725226640701
2719,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00278.POSCAR_all_sites/CONTCAR,-0.10488849133253098
2031,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00308.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00587.POSCAR_all_sites/CONTCAR,-0.10456743091344833
2721,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00375.POSCAR_all_sites/CONTCAR,-0.10453707724809647
2690,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00380.POSCAR_all_sites/CONTCAR,-0.10453227162361145
923,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00108.POSCAR_all_sites/CONTCAR,-0.1045239046216011
2692,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00513.POSCAR_all_sites/CONTCAR,-0.1045149639248848
896,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00349.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00115.POSCAR_all_sites/CONTCAR,-0.10450872778892517
2716,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00142.POSCAR_all_sites/CONTCAR,-0.10448715090751648
2591,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00195.POSCAR_all_sites/CONTCAR,-0.10399013757705688
2588,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00596.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00202.POSCAR_all_sites/CONTCAR,-0.10397838801145554
694,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00483.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,-0.1039380133152008
1449,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00478.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,-0.1039331927895546
936,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,-0.10393161326646805
934,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00124.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,-0.10390857607126236
1593,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,-0.10388212651014328
203,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00546.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,-0.10386749356985092
277,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00398.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,-0.10386096686124802
1591,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00080.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,-0.1038590595126152
1528,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00413.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00485.POSCAR_all_sites/CONTCAR,-0.1038389727473259
1937,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00256.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00457.POSCAR_all_sites/CONTCAR,-0.1037881076335907
458,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00542.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00206.POSCAR_all_sites/CONTCAR,-0.10376837104558945
1661,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00112.POSCAR_all_sites/CONTCAR,-0.10376682132482529
611,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00249.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00522.POSCAR_all_sites/CONTCAR,-0.10376182943582535
1659,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00243.POSCAR_all_sites/CONTCAR,Pt553_CO-OH/1CO-1CO-1OH-out/contcar/00109.POSCAR_all_sites/CONTCAR,-0.10374376177787781
